node_id;cores
UC40qbNafxAxulrVXJbC5kfA;[0]
UCv9uh3QdJMEwyd8T3J5LAcQ;[0]
UCmdRostiazOWYUCCIVcyVSQ;[0]
UCQAzqUF9nXqGU468sc_24vg;[0]
UCfoWiSTpvlZnNYo3rIpsU5A;[0]
UCqMYBq3Xjev28cPV8-YmF8A;[]
UCOFBDs1O78CRvRR9WifPE8A;[0]
UCKPmF1nb7j5hpolP8Nvnyeg;[0]
UCinJDsdR6vMX_PsFjDL5RgA;[0]
