node_id;cores
UCPFC4wf8iz0j1-YNIVuuTfg;[0]
UCWSMn-z6r1v9y63FRbcSCNg;[0]
UCOhZU8ysAfmvkqL39NumpiQ;[]
UCKGq_oIxDvdGCL8Z2s6yoyA;[0]
