node_id;cores
UCuWvGCEFl1CnHam-jWn3tbA;[0]
UCof3k2jGpoeTshudhWvvbHw;[]
UCm5MeDkxOe6ofQnWG9Ec-Dg;[0]
UCaJ_J2NKp9j8S5Y-UeX9KUw;[0]
UCyB4uRSkCZPjTA7MllSBkIg;[0]
