cluster;nodes
Cluster 6;[UCN8NAFrJENowmi2f79gvCjA, UCsROxuXpb_iB-tbKY60CBcg]
Cluster 7;[UC0WEYCCldOQXKdCdALjxrmw, UCc1Xnrg8vT3bLSNRZ22OaaA]
Cluster 8;[UC1jbUT-q3NMiYYxbgUxKj6g, UCUReClFgh9SPZSSW20hNmnQ]
Cluster 9;[UC_tD6u-NvprDUz7-Ut8sN0g, UCc5vSTyJlc9w4lL3Yc1gYOA]
