cluster;nodes
Cluster 6;[UCfW7689Mm0tzGcR60GOllig, UCH4Fhu8IWcIWKETra5bcWMA]
Cluster 7;[UC1jbUT-q3NMiYYxbgUxKj6g, UCUReClFgh9SPZSSW20hNmnQ]
Cluster 8;[UCKO9vRhZd7t7WrG4laZsnCw, UCMXoiNJ88o1ZyQuH_BvxXQA]
Cluster 9;[UC_tD6u-NvprDUz7-Ut8sN0g, UCc5vSTyJlc9w4lL3Yc1gYOA]
Cluster 12;[UCCss6bxFfASDXakcFgksroQ, UCHqzpNs8hmVJKj4bA5DyDTg]
Cluster 11;[UCAPb2DSiTsp7qcRmRBplUcw, UCgnX6f3RxskglgK5PcjaSvA]
Cluster 10;[UCZOYlHroshki_0Tn6m1XSVw, UCMU6AaXkSY8Pb7ydZz1a-qQ]
