node_id;cores
UCg8srrq4g3Vt1EbqzDxKWKA;[]
UCIhiBvAKE4X6eyE_Nmyw9bQ;[0]
UC1B_uHPQbdwyrsjmdg2WeSg;[0]
UCnfpBaQBm2T-7U5kD2d69IA;[0]
UCADZCpZnQp_qTwCOH6tvDVw;[0]
UCn5uy5b4eBcAYaJV29OikHA;[0]
UCzkThOOqRPK3YlotBEV4hQA;[0]
UCWJAEYIE3nKtA5hkoViJhoQ;[]
