node_id;cores
UC7qDk1v-xjWnu9rrTwJ4mPQ;[0]
UCA_pKkiQ8J8S8BiSWp7iKrw;[0]
UC5QAkKjquoSEnhcLoqm-aUQ;[0]
UCqCI5NzHvtfRAhjQjNbTCMg;[]
UC34mo6As3SEaTLkkwmT0DrQ;[]
UCInx-auF2zgAg7kgcxgmPkQ;[0]
UCE8pZT8_ro8jVYdUThaDcnw;[0]
UCcCREhXKm5DZ3Qdn94D8rSQ;[]
UCbmBlKF4LbD2-9s_5I4r1TQ;[0]
UC5MIUKf5p-KUSpTfje4FLJg;[]
UCck5d6sLbcdfiWf2SoJfVmQ;[]
UCKOVUJK2R6mMr3_Jc1RCZZA;[0]
UCIY08HBYPSJlKiem2GWwKpQ;[0]
UCdM8g0sQypTdmqw9aWbQyYg;[0]
UCKFlCoRVj6lUm5tTVs95zTA;[0]
UCk3jpbnFuu23tc0mORjNHvw;[0]
UCipz0NJ8fgmlRmSURPm5_6Q;[0]
UC5YNmEFJSLx4S0TiOSiwkyg;[0]
UC4nMNFo4QKEKDqf23T09Zdw;[0]
UCw-vyIfInHFxZqBaov_9VSg;[0]
UCjQ8_ieWR1ZiMdNg16GMh6A;[0]
UCYXgo7d5salzkVFEYg-5KbA;[0]
UCKjzIYi8hn7GXue70TyGD_w;[0]
UCRudncg29cb8f5jFDS3GQew;[0]
UC-pfdek14vxrAr590q9Ig7Q;[0]
UCVcEyr5ltx2kTzt99nhja8w;[0]
UCV5qv4gbMDtLftzbE5hUpfg;[0]
UCZx1SlUyDDAmbJNUYQvDMdg;[0]
UCcU2W9BZpYoYeHToWnHA1pg;[0]
UCMauvN7iLvcpbQPxXvs0NxQ;[0]
UCpJwq9CHVcuhB1fpOEAA0mQ;[0]
UCYiqdom5ngSyUPELl_qytqw;[0]
UCUAUiDE09y5x0qDQsUvz_oQ;[0]
UC2nDpiQavwlOl1g6nWlG7tQ;[0]
UCk7JY_d-5wfX8de6-OfpcqA;[0]
UCpQNbfVmqwXGz9_O2sU2OfQ;[0]
UCKFxM1qnzTc92r3IEBVfR9w;[0]
UCaHkioys73SH8HmMWmsiP1A;[0]
UCKJ-wAAW50Np6FGuNk2rlBQ;[0]
UCf1CLuC43Fz0bW9P6H3h2vQ;[0]
UCc5vSTyJlc9w4lL3Yc1gYOA;[0]
UCqGYes-RtO3m1XRx0lAtGIA;[0]
UCHIFSAqoHY80an7w9gvG_Kw;[0]
UCbwPHDs3t1_Ccd6oYBrU0JA;[0]
UCoxqmW5REAlpalEilqx_kqQ;[0]
UCDsKeR5NM8_EhQnBaT0L7vw;[0]
UChpaBGK2nXbUmVP1nfwtKBA;[0]
UCQPcfspoJ1iRtED4maUPATg;[]
